episode,agent,opponent,goals_scored,goals_conceded,result
491,base2,base,2,3,lose
492,base,base2,2,3,lose
492,base2,base,2,3,lose
493,base,base2,2,3,lose
493,base2,base,2,3,lose
494,base,base2,2,3,lose
494,base2,base,2,3,lose
495,base,base2,2,3,lose
495,base2,base,3,2,win
496,base,base2,2,3,lose
496,base2,base,2,3,lose
497,base,base2,3,2,win
497,base2,base,2,3,lose
498,base,base2,3,2,win
498,base2,base,2,3,lose
499,base,base2,2,3,lose
499,base2,base,3,2,win
500,base,base2,3,2,win
500,base2,base,3,2,win
501,base,base2,2,3,lose
501,base2,base,2,3,lose
502,base,base2,2,3,lose
502,base2,base,3,2,win
503,base,base2,2,3,lose
503,base2,base,3,2,win
504,base,base2,2,3,lose
504,base2,base,2,3,lose
505,base,base2,3,2,win
505,base2,base,2,3,lose
506,base,base2,3,2,win
506,base2,base,3,2,win
507,base,base2,2,3,lose
507,base2,base,3,2,win
508,base,base2,3,2,win
508,base2,base,3,2,win
509,base,base2,2,3,lose
509,base2,base,3,2,win
510,base,base2,2,3,lose
510,base2,base,2,3,lose
511,base,base2,2,3,lose
